Tick,Healthy,Sick,Recovered
354,1297,203,0
355,1297,203,0
356,1296,204,0
357,1295,205,0
358,1294,206,0
359,1293,207,0
360,1292,208,0
361,1290,210,0
362,1289,211,0
363,1289,211,0
364,1288,212,0
365,1288,212,0
366,1287,213,0
367,1286,214,0
368,1282,218,0
369,1281,219,0
370,1280,220,0
371,1280,220,0
372,1279,221,0
373,1279,221,0
374,1278,222,0
375,1277,223,0
376,1276,224,0
377,1276,224,0
378,1276,224,0
379,1274,226,0
380,1272,228,0
381,1271,229,0
382,1270,230,0
383,1269,231,0
384,1268,232,0
385,1268,232,0
386,1268,232,0
387,1267,233,0
388,1264,236,0
389,1264,236,0
390,1264,236,0
391,1261,239,0
392,1261,239,0
393,1260,240,0
394,1260,240,0
395,1259,241,0
396,1257,243,0
397,1257,243,0
398,1257,243,0
399,1257,243,0
400,1255,245,0
401,1255,245,0
402,1253,247,0
403,1252,248,0
404,1251,249,0
405,1251,249,0
406,1250,250,0
407,1249,251,0
408,1249,251,0
409,1246,254,0
410,1246,254,0
411,1244,256,0
412,1240,260,0
413,1240,260,0
414,1240,260,0
415,1237,263,0
416,1236,264,0
417,1236,264,0
418,1235,265,0
419,1234,266,0
420,1233,267,0
421,1233,267,0
422,1233,267,0
423,1233,267,0
424,1230,270,0
425,1229,271,0
426,1228,272,0
427,1227,273,0
428,1225,275,0
429,1225,275,0
430,1224,276,0
431,1223,277,0
432,1222,278,0
433,1221,279,0
434,1220,280,0
435,1220,280,0
436,1220,280,0
437,1217,283,0
438,1217,283,0
439,1217,283,0
440,1214,286,0
441,1214,286,0
442,1213,287,0
443,1213,287,0
444,1210,290,0
445,1210,290,0
446,1210,290,0
447,1209,291,0
448,1208,292,0
449,1205,295,0
450,1203,297,0
451,1203,297,0
452,1201,299,0
453,1200,300,0
454,1199,301,0
455,1199,301,0
456,1195,305,0
457,1194,306,0
458,1191,309,0
459,1191,309,0
460,1189,311,0
461,1187,313,0
462,1187,313,0
463,1186,314,0
464,1185,315,0
465,1184,316,0
466,1183,317,0
467,1183,317,0
468,1182,318,0
469,1180,320,0
470,1179,321,0
471,1175,325,0
472,1175,325,0
473,1175,325,0
474,1172,328,0
475,1171,329,0
476,1170,330,0
477,1169,331,0
478,1166,334,0
479,1164,336,0
480,1163,337,0
481,1163,337,0
482,1160,340,0
483,1160,340,0
484,1158,342,0
485,1156,344,0
486,1154,346,0
487,1153,347,0
488,1151,349,0
489,1150,350,0
490,1149,351,0
491,1148,352,0
492,1146,354,0
493,1144,356,0
494,1143,357,0
495,1143,357,0
496,1143,357,0
497,1140,360,0
498,1139,361,0
499,1139,361,0
500,1139,360,1
501,1136,363,1
502,1135,364,1
503,1133,366,1
504,1133,366,1
505,1131,368,1
506,1128,371,1
507,1127,372,1
508,1124,375,1
509,1123,376,1
510,1121,378,1
511,1121,377,2
512,1119,378,3
513,1118,379,3
514,1115,382,3
515,1114,383,3
516,1114,383,3
517,1112,384,4
518,1112,384,4
519,1112,384,4
520,1112,384,4
521,1111,385,4
522,1108,388,4
523,1106,390,4
524,1105,391,4
525,1104,392,4
526,1102,394,4
527,1100,395,5
528,1100,395,5
529,1099,396,5
530,1099,396,5
531,1098,397,5
532,1095,400,5
533,1094,401,5
534,1094,400,6
535,1093,401,6
536,1092,402,6
537,1091,403,6
538,1090,404,6
539,1088,406,6
540,1088,406,6
541,1085,409,6
542,1084,410,6
543,1082,412,6
544,1082,412,6
545,1080,414,6
546,1080,414,6
547,1077,416,7
548,1073,420,7
549,1073,420,7
550,1073,420,7
551,1073,419,8
552,1071,421,8
553,1070,422,8
554,1069,423,8
555,1066,426,8
556,1065,426,9
557,1065,425,10
558,1064,426,10
559,1064,426,10
