Tick,Healthy,Sick,Recovered
1,1499,1,0
2,1499,1,0
3,1499,1,0
4,1499,1,0
5,1499,1,0
6,1499,1,0
7,1499,1,0
8,1499,1,0
9,1499,1,0
10,1499,1,0
11,1499,1,0
12,1498,2,0
13,1498,2,0
14,1498,2,0
15,1498,2,0
16,1498,2,0
17,1498,2,0
18,1498,2,0
19,1497,3,0
20,1497,3,0
21,1497,3,0
22,1497,3,0
23,1497,3,0
24,1497,3,0
25,1497,3,0
26,1495,5,0
27,1495,5,0
28,1495,5,0
29,1495,5,0
30,1495,5,0
31,1495,5,0
32,1495,5,0
33,1495,5,0
34,1495,5,0
35,1495,5,0
36,1495,5,0
37,1495,5,0
38,1495,5,0
39,1495,5,0
40,1495,5,0
41,1495,5,0
42,1495,5,0
43,1495,5,0
44,1495,5,0
45,1495,5,0
46,1495,5,0
47,1495,5,0
48,1495,5,0
49,1495,5,0
50,1495,5,0
51,1495,5,0
52,1495,5,0
53,1495,5,0
54,1495,5,0
55,1495,5,0
56,1495,5,0
57,1495,5,0
58,1495,5,0
59,1494,6,0
60,1494,6,0
61,1494,6,0
62,1494,6,0
63,1494,6,0
64,1494,6,0
65,1494,6,0
66,1494,6,0
67,1494,6,0
68,1494,6,0
69,1493,7,0
70,1493,7,0
71,1493,7,0
72,1493,7,0
73,1493,7,0
74,1493,7,0
75,1493,7,0
76,1492,8,0
77,1492,8,0
78,1492,8,0
79,1492,8,0
80,1492,8,0
81,1492,8,0
82,1492,8,0
83,1492,8,0
84,1492,8,0
85,1492,8,0
86,1492,8,0
87,1492,8,0
88,1492,8,0
89,1492,8,0
90,1492,8,0
91,1491,9,0
92,1491,9,0
93,1491,9,0
94,1491,9,0
95,1491,9,0
96,1491,9,0
97,1491,9,0
98,1491,9,0
99,1491,9,0
100,1491,9,0
101,1491,9,0
102,1491,9,0
103,1491,9,0
104,1491,9,0
105,1491,9,0
106,1491,9,0
107,1490,10,0
108,1490,10,0
109,1490,10,0
110,1490,10,0
111,1490,10,0
112,1490,10,0
113,1490,10,0
114,1490,10,0
115,1489,11,0
116,1489,11,0
117,1489,11,0
118,1489,11,0
119,1489,11,0
120,1489,11,0
121,1489,11,0
122,1489,11,0
123,1489,11,0
124,1489,11,0
125,1489,11,0
126,1489,11,0
127,1489,11,0
128,1489,11,0
129,1488,12,0
130,1488,12,0
131,1488,12,0
132,1488,12,0
133,1488,12,0
134,1488,12,0
135,1488,12,0
136,1488,12,0
137,1488,12,0
138,1488,12,0
139,1488,12,0
140,1488,12,0
141,1488,12,0
142,1487,13,0
143,1487,13,0
144,1486,14,0
145,1486,14,0
146,1485,15,0
147,1485,15,0
148,1485,15,0
149,1485,15,0
150,1485,15,0
151,1485,15,0
152,1485,15,0
153,1485,15,0
154,1485,15,0
155,1485,15,0
156,1484,16,0
157,1484,16,0
158,1483,17,0
159,1483,17,0
160,1483,17,0
161,1482,18,0
162,1482,18,0
163,1482,18,0
164,1482,18,0
165,1482,18,0
166,1482,18,0
167,1482,18,0
168,1482,18,0
169,1482,18,0
170,1482,18,0
171,1482,18,0
172,1482,18,0
173,1482,18,0
174,1481,19,0
175,1481,19,0
176,1481,19,0
177,1481,19,0
178,1481,19,0
179,1481,19,0
180,1481,19,0
181,1481,19,0
182,1481,19,0
183,1481,19,0
184,1481,19,0
185,1481,19,0
186,1481,19,0
187,1481,19,0
188,1481,19,0
189,1481,19,0
190,1481,19,0
191,1480,20,0
192,1480,20,0
193,1480,20,0
194,1480,20,0
195,1480,20,0
196,1480,20,0
197,1480,20,0
198,1478,22,0
199,1478,22,0
200,1478,22,0
201,1478,22,0
202,1478,22,0
203,1478,22,0
204,1478,22,0
205,1478,22,0
206,1478,22,0
207,1478,22,0
208,1478,22,0
209,1478,22,0
210,1478,22,0
211,1478,22,0
212,1478,22,0
213,1478,22,0
214,1478,22,0
215,1478,22,0
216,1478,22,0
217,1478,22,0
218,1478,22,0
219,1478,22,0
220,1478,22,0
221,1478,22,0
222,1478,22,0
223,1478,22,0
224,1477,23,0
225,1477,23,0
226,1477,23,0
227,1477,23,0
228,1477,23,0
229,1477,23,0
230,1477,23,0
231,1476,24,0
232,1476,24,0
233,1475,25,0
234,1475,25,0
235,1475,25,0
236,1475,25,0
237,1475,25,0
238,1474,26,0
239,1474,26,0
240,1474,26,0
241,1473,27,0
242,1472,28,0
243,1472,28,0
244,1472,28,0
245,1472,28,0
246,1472,28,0
247,1472,28,0
248,1472,28,0
249,1472,28,0
250,1472,28,0
251,1472,28,0
252,1472,28,0
253,1472,28,0
254,1472,28,0
255,1472,28,0
256,1472,28,0
257,1472,28,0
258,1471,29,0
259,1471,29,0
260,1471,29,0
261,1470,30,0
262,1469,31,0
263,1469,31,0
264,1468,32,0
265,1468,32,0
266,1468,32,0
267,1468,32,0
268,1467,33,0
269,1467,33,0
270,1466,34,0
271,1466,34,0
272,1466,34,0
273,1466,34,0
274,1466,34,0
275,1466,34,0
276,1466,34,0
277,1466,34,0
278,1466,34,0
279,1466,34,0
280,1466,34,0
281,1465,35,0
282,1465,35,0
283,1465,35,0
284,1465,35,0
285,1465,35,0
286,1465,35,0
287,1465,35,0
288,1465,35,0
289,1465,35,0
290,1465,35,0
291,1464,36,0
292,1464,36,0
293,1464,36,0
294,1464,36,0
295,1464,36,0
296,1463,37,0
297,1462,38,0
298,1462,38,0
299,1462,38,0
300,1462,38,0
301,1461,39,0
302,1461,39,0
303,1461,39,0
304,1461,39,0
305,1461,39,0
306,1460,40,0
307,1460,40,0
308,1460,40,0
309,1460,40,0
310,1460,40,0
311,1460,40,0
312,1460,40,0
313,1460,40,0
314,1460,40,0
315,1460,40,0
316,1459,41,0
317,1459,41,0
318,1459,41,0
319,1458,42,0
320,1458,42,0
321,1458,42,0
322,1458,42,0
323,1458,42,0
324,1457,43,0
325,1456,44,0
326,1456,44,0
